"cluster_id","state","treated","period","post","remoteness_index","n_surveyed","n_using_modern_method","mCPR_pct"
"CL-001","Lagos",1,"2023_wave0_pre",0,8.8,179,59,32.96
"CL-001","Lagos",1,"2024_wave1_pre",0,8.8,153,42,27.45
"CL-001","Lagos",1,"2025_wave2_post",1,8.8,181,64,35.36
"CL-002","Lagos",1,"2023_wave0_pre",0,7.7,175,23,13.14
"CL-002","Lagos",1,"2024_wave1_pre",0,7.7,205,42,20.49
"CL-002","Lagos",1,"2025_wave2_post",1,7.7,159,46,28.93
"CL-003","Lagos",1,"2023_wave0_pre",0,1.8,183,38,20.77
"CL-003","Lagos",1,"2024_wave1_pre",0,1.8,175,53,30.29
"CL-003","Lagos",1,"2025_wave2_post",1,1.8,167,62,37.13
"CL-004","Lagos",1,"2023_wave0_pre",0,8.8,164,42,25.61
"CL-004","Lagos",1,"2024_wave1_pre",0,8.8,147,47,31.97
"CL-004","Lagos",1,"2025_wave2_post",1,8.8,209,93,44.5
"CL-005","Lagos",1,"2023_wave0_pre",0,6.3,181,43,23.76
"CL-005","Lagos",1,"2024_wave1_pre",0,6.3,158,34,21.52
"CL-005","Lagos",1,"2025_wave2_post",1,6.3,144,41,28.47
"CL-006","Lagos",1,"2023_wave0_pre",0,8.7,203,9,4.43
"CL-006","Lagos",1,"2024_wave1_pre",0,8.7,181,0,0
"CL-006","Lagos",1,"2025_wave2_post",1,8.7,179,8,4.47
"CL-007","Lagos",1,"2023_wave0_pre",0,7.8,185,28,15.14
"CL-007","Lagos",1,"2024_wave1_pre",0,7.8,230,46,20
"CL-007","Lagos",1,"2025_wave2_post",1,7.8,165,39,23.64
"CL-008","Lagos",1,"2023_wave0_pre",0,6.5,221,35,15.84
"CL-008","Lagos",1,"2024_wave1_pre",0,6.5,189,41,21.69
"CL-008","Lagos",1,"2025_wave2_post",1,6.5,202,46,22.77
"CL-009","Lagos",1,"2023_wave0_pre",0,5.9,165,43,26.06
"CL-009","Lagos",1,"2024_wave1_pre",0,5.9,140,31,22.14
"CL-009","Lagos",1,"2025_wave2_post",1,5.9,188,58,30.85
"CL-010","Lagos",1,"2023_wave0_pre",0,5.1,172,45,26.16
"CL-010","Lagos",1,"2024_wave1_pre",0,5.1,167,54,32.34
"CL-010","Lagos",1,"2025_wave2_post",1,5.1,173,62,35.84
"CL-011","Lagos",1,"2023_wave0_pre",0,0.6,213,46,21.6
"CL-011","Lagos",1,"2024_wave1_pre",0,0.6,150,36,24
"CL-011","Lagos",1,"2025_wave2_post",1,0.6,135,37,27.41
"CL-012","Lagos",1,"2023_wave0_pre",0,4.3,150,27,18
"CL-012","Lagos",1,"2024_wave1_pre",0,4.3,153,21,13.73
"CL-012","Lagos",1,"2025_wave2_post",1,4.3,186,53,28.49
"CL-013","Lagos",0,"2023_wave0_pre",0,5.1,145,37,25.52
"CL-013","Lagos",0,"2024_wave1_pre",0,5.1,199,44,22.11
"CL-013","Lagos",0,"2025_wave2_post",1,5.1,151,36,23.84
"CL-014","Lagos",0,"2023_wave0_pre",0,5,196,39,19.9
"CL-014","Lagos",0,"2024_wave1_pre",0,5,169,42,24.85
"CL-014","Lagos",0,"2025_wave2_post",1,5,167,36,21.56
"CL-015","Lagos",0,"2023_wave0_pre",0,6.3,170,26,15.29
"CL-015","Lagos",0,"2024_wave1_pre",0,6.3,207,19,9.18
"CL-015","Lagos",0,"2025_wave2_post",1,6.3,218,18,8.26
"CL-016","Lagos",0,"2023_wave0_pre",0,3.4,156,51,32.69
"CL-016","Lagos",0,"2024_wave1_pre",0,3.4,186,58,31.18
"CL-016","Lagos",0,"2025_wave2_post",1,3.4,224,73,32.59
"CL-017","Lagos",0,"2023_wave0_pre",0,8.4,157,49,31.21
"CL-017","Lagos",0,"2024_wave1_pre",0,8.4,181,51,28.18
"CL-017","Lagos",0,"2025_wave2_post",1,8.4,207,60,28.99
"CL-018","Lagos",0,"2023_wave0_pre",0,1.1,200,43,21.5
"CL-018","Lagos",0,"2024_wave1_pre",0,1.1,221,64,28.96
"CL-018","Lagos",0,"2025_wave2_post",1,1.1,184,63,34.24
"CL-019","Lagos",0,"2023_wave0_pre",0,6.9,163,26,15.95
"CL-019","Lagos",0,"2024_wave1_pre",0,6.9,167,33,19.76
"CL-019","Lagos",0,"2025_wave2_post",1,6.9,165,29,17.58
"CL-020","Lagos",0,"2023_wave0_pre",0,2.8,179,59,32.96
"CL-020","Lagos",0,"2024_wave1_pre",0,2.8,188,54,28.72
"CL-020","Lagos",0,"2025_wave2_post",1,2.8,192,60,31.25
"CL-021","Lagos",0,"2023_wave0_pre",0,7.2,160,25,15.62
"CL-021","Lagos",0,"2024_wave1_pre",0,7.2,265,39,14.72
"CL-021","Lagos",0,"2025_wave2_post",1,7.2,201,21,10.45
"CL-022","Lagos",0,"2023_wave0_pre",0,8.2,191,49,25.65
"CL-022","Lagos",0,"2024_wave1_pre",0,8.2,171,39,22.81
"CL-022","Lagos",0,"2025_wave2_post",1,8.2,202,52,25.74
